# element centroid_x centroid_y signed_dwr abs_dwr primal_residual_norm dual_correction_rms dual_solution_rms residual_dual_product marked
39 1.594399879735e-01 8.243900110566e-02 -1.413794628964e-09 1.413794628964e-09 9.292348881200e-05 1.295449098037e-05 3.389633099227e-02 1.203776497680e-09 0
40 1.728581968730e-01 5.983039871713e-02 -1.614562852211e-09 1.614562852211e-09 9.966553387566e-05 1.349857126811e-05 2.507578592688e-02 1.345342311995e-09 0
41 1.723829038151e-01 7.487134020338e-02 -1.705059395746e-09 1.705059395746e-09 1.028290627989e-04 1.406860898878e-05 3.124116803306e-02 1.446661877200e-09 0
42 1.432160040598e-02 1.747281648977e-01 -1.254812428001e-09 1.254812428001e-09 3.970922016788e-05 3.953832175157e-05 6.512445277687e-02 1.570035923501e-09 0
43 1.357331358544e-01 1.240483575010e-01 -7.690273150416e-10 7.690273150416e-10 6.778715522046e-05 1.132392720314e-05 4.941978183365e-02 7.676168110242e-10 0
44 1.468102852929e-01 1.047336795246e-01 -1.013039257806e-09 1.013039257806e-09 7.641173024130e-05 1.171926771999e-05 4.233739333634e-02 8.954895236455e-10 0
45 1.588270742141e-01 1.296000540983e-01 -1.086873976940e-09 1.086873976940e-09 7.945113774222e-05 1.312682987094e-05 5.257467988823e-02 1.042941568195e-09 0
46 1.471234984538e-01 1.194606970413e-01 -9.268733337512e-10 9.268733337512e-10 7.738189706136e-05 1.177326866782e-05 4.810507918422e-02 9.110378641288e-10 0
47 1.159831711702e-01 1.500245911701e-01 -2.115142636016e-09 2.115142636016e-09 1.609096455499e-04 3.385223171892e-05 5.832313025923e-02 5.447150606966e-09 0
48 1.709896369019e-01 1.231303680000e-01 -2.368408137021e-09 2.368408137021e-09 1.272098838061e-04 1.709573597890e-05 5.064233398190e-02 2.174746587456e-09 0
49 1.589728479808e-01 9.826399342638e-02 -1.727227594567e-09 1.727227594567e-09 1.006310877701e-04 1.548970413915e-05 4.023397454589e-02 1.558745776759e-09 0
50 1.843833866059e-01 9.816961310808e-02 -2.728916960860e-09 2.728916960860e-09 1.336643689805e-04 1.769893617333e-05 4.125236501499e-02 2.365717135234e-09 0
51 1.714486238295e-01 1.065213248448e-01 -2.154292811543e-09 2.154292811543e-09 1.169697871575e-04 1.609956780059e-05 4.405120542406e-02 1.883163018963e-09 0
52 7.148806896761e-02 1.738398461739e-01 -3.678333248202e-09 3.678333248202e-09 1.327655584876e-04 4.327960880943e-05 6.569988304329e-02 5.746041434707e-09 1
53 1.861561957134e-01 3.726756439527e-02 -1.824260104406e-09 1.824260104406e-09 1.069435638094e-04 1.407020316308e-05 1.598487896884e-02 1.504717669783e-09 0
54 1.994894507479e-01 1.487283577983e-02 -2.199753689972e-09 2.199753689972e-09 1.187346074575e-04 1.520598414015e-05 6.816098648417e-03 1.805476557886e-09 0
55 2.112910580262e-01 3.709661450386e-02 -2.697551069390e-09 2.697551069390e-09 1.345139327164e-04 1.651790476233e-05 1.640748296906e-02 2.221888329816e-09 0
56 1.989789014958e-01 2.974567155965e-02 -2.245857029108e-09 2.245857029108e-09 1.197201178429e-04 1.558115084169e-05 1.303164693974e-02 1.865377214896e-09 0
57 1.977015503361e-01 7.475143669404e-02 -2.432916303944e-09 2.432916303944e-09 1.271334204182e-04 1.612262297845e-05 3.208610836153e-02 2.049724205363e-09 0
58 1.857092206104e-01 5.223721462382e-02 -1.935635253000e-09 1.935635253000e-09 1.100542626784e-04 1.470944517251e-05 2.225122478324e-02 1.618837142869e-09 0
