# element centroid_x centroid_y signed_dwr abs_dwr primal_residual_norm dual_correction_rms dual_solution_rms residual_dual_product marked
143 2.275106400710e-01 3.792952414896e-01 -2.371861450844e-07 2.371861450844e-07 3.799439729066e-03 8.120849376877e-05 1.418148011129e-01 3.085467775627e-07 0
144 3.031686089831e-01 3.352797164157e-01 -4.235737206744e-07 4.235737206744e-07 3.551231013913e-03 1.009621220515e-04 1.422474721093e-01 3.585398190596e-07 0
145 4.099634049642e-01 1.947766513188e-01 -4.588752542662e-07 4.588752542662e-07 2.340485450152e-03 1.699237729191e-04 1.155544443751e-01 3.977041181521e-07 0
146 1.422635673265e-02 4.248432287269e-01 2.249535837541e-07 2.249535837541e-07 2.615669483977e-03 5.776625999269e-05 1.384437714056e-01 1.510974434664e-07 0
147 7.105686139091e-02 4.240943260057e-01 1.781054499249e-07 1.781054499249e-07 3.362334829826e-03 5.875656650844e-05 1.395601254710e-01 1.975592500523e-07 0
148 1.799835948545e-01 4.114478656187e-01 -2.427471035240e-08 2.427471035240e-08 3.507835779858e-03 7.049955949245e-05 1.440812965914e-01 2.473008772518e-07 0
149 3.284164947779e-01 3.210689959250e-01 -4.699358052722e-07 4.699358052722e-07 3.521860573354e-03 1.097927110633e-04 1.432670601144e-01 3.866746203354e-07 0
150 9.924941394741e-02 4.233567616066e-01 1.314395910426e-07 1.314395910426e-07 3.542579011532e-03 5.931346786562e-05 1.406764737243e-01 2.101226463619e-07 0
151 1.547753624502e-01 4.205791371739e-01 1.671112486011e-08 1.671112486011e-08 4.360830168366e-03 5.892162356075e-05 1.438857659710e-01 2.569471935928e-07 0
152 4.493057452861e-01 3.017430014394e-02 -6.609358736029e-07 6.609358736029e-07 2.133758754781e-03 2.539055178839e-04 2.325345171378e-02 5.417731216720e-07 0
153 4.485188237521e-01 6.077896942196e-02 -7.172321980762e-07 7.172321980762e-07 2.250832015328e-03 2.718529203938e-04 4.432387767694e-02 6.118952566827e-07 0
154 4.465081963538e-01 1.240335049859e-01 -9.157737706951e-07 9.157737706951e-07 2.833081542645e-03 2.807510663325e-04 8.608601625786e-02 7.953906641045e-07 0
155 4.049758975104e-01 2.509233210069e-01 -4.826381042129e-07 4.826381042129e-07 2.906666176029e-03 1.554427681914e-04 1.388520676053e-01 4.518202366102e-07 0
156 4.424576383895e-01 1.543809656036e-01 -6.701904357162e-07 6.701904357162e-07 2.456151150724e-03 2.411391164654e-04 1.032305468609e-01 5.922741183911e-07 0
157 2.773677855659e-01 3.790000092538e-01 -4.290914636431e-07 4.290914636431e-07 4.425637426055e-03 8.870262570230e-05 1.492797065134e-01 3.925656600974e-07 0
158 3.786648637682e-01 2.930514326252e-01 -5.248380250419e-07 5.248380250419e-07 3.450809199753e-03 1.361017731837e-04 1.466742824710e-01 4.696612510050e-07 0
159 3.023845523476e-01 3.644730606180e-01 -4.948106338789e-07 4.948106338789e-07 4.332782388018e-03 9.593412145829e-05 1.500875465932e-01 4.156616718645e-07 0
